,hlasy abs,hlasy procenta,mandat,navrhujici strana,politicka prislusnost,poradi ve strane,poradi zvoleni,prijmeni jmeno,rok,strana cislo,strana nazev,tituly,vek
1046,3 325,203.0,0,NK,BEZPP,36,30,Löffler Filip,2010,12,Liberec občanům,,28
1047,1 109,254.0,0,SOS,SOS,9,,Lukáš Pavel,2010,9,SOS - Liberecký zastupitel,Bc. ,36
1048,546,229.0,0,Suveren.,BEZPP,27,,Lukavec Jiří,2010,4,Suverenita-blok J.Bobošíkové,,45
1049,2 779,330.0,1,KSČM,KSČM,1,1,Lysáková Dana,2010,13,Komunistická str.Čech a Moravy,Mgr. ,54
1050,249,266.0,0,SPOZ,SPOZ,12,,Mádr Tomáš,2010,11,Strana Práv Občanů ZEMANOVCI,,26
1051,2 282,271.0,0,KSČM,BEZPP,13,10,Mach Jan,2010,13,Komunistická str.Čech a Moravy,RNDr. ,57
1052,2 675,302.0,0,VV,VV,4,2,Macháček Ivan,2010,6,Věci veřejné,Ing. ,46
1053,4 071,249.0,0,NK,BEZPP,18,12,Macháček Vlastimil,2010,12,Liberec občanům,,55
1054,244,261.0,0,SPOZ,SPOZ,18,,Machálek Jaromír,2010,11,Strana Práv Občanů ZEMANOVCI,,59
1055,221,236.0,0,SPOZ,SPOZ,26,,Machálková Marcela,2010,11,Strana Práv Občanů ZEMANOVCI,,55
1056,2 205,261.0,0,KSČM,BEZPP,16,13,Machaň Oldřich,2010,13,Komunistická str.Čech a Moravy,Ing. CSc.,64
1057,1 068,245.0,0,SOS,SOS,15,,Majzner Jan,2010,9,SOS - Liberecký zastupitel,Ing. ,50
1058,3 764,230.0,0,NK,SZ,30,24,Malý Kamil,2010,12,Liberec občanům,,51
1059,3 803,232.0,0,KDU-ČSL,BEZPP,29,23,Marek Jan,2010,12,Liberec občanům,Mgr. ,31
1060,5 443,265.0,1,ČSSD,ČSSD,7,7,Martin Lukáš,2010,8,Česká str.sociálně demokrat.,,31
1061,1 529,322.0,0,DRS,BEZPP,12,,Martinec Jindřich,2010,7,Demokratická regionální strana,PaedDr. ,55
1062,5 353,261.0,0,ČSSD,ČSSD,11,4,Martišová Monika,2010,8,Česká str.sociálně demokrat.,,33
1063,1 074,246.0,0,SOS,SOS,8,,Matěnová Gabriela,2010,9,SOS - Liberecký zastupitel,,34
1064,3 094,189.0,0,NK,BEZPP,38,32,Matoušek Miloš,2010,12,Liberec občanům,Ing. ,49
1065,3 787,231.0,0,NK,BEZPP,28,22,Maupicová Helena,2010,12,Liberec občanům,Ing. ,42
1066,450,482.0,0,SPOZ,BEZPP,3,,Mečíř Vlastimil,2010,11,Strana Práv Občanů ZEMANOVCI,,54
1067,5 442,252.0,0,ODS,ODS,29,21,Meier Zdeněk,2010,3,Občanská demokratická strana,Ing. ,41
1068,1 893,224.0,0,KSČM,KSČM,37,34,Mendlíková Hana,2010,13,Komunistická str.Čech a Moravy,,75
1069,616,259.0,0,Suveren.,BEZPP,14,,Menzel Jan,2010,4,Suverenita-blok J.Bobošíkové,,34
